,doc_id,Texto
1995,1883698,hyman roth personaje ficticio película padrino dirigida francis ford coppola interpretado lee strasberg historia película hyman roth dispone grandes locales cuba dispone hacer negocios michael corleone jefe familia corleone roth decide traicionar michael mandando asesinos casa asesinos fallan mata luego fredo corleone hermano michael ver intento asesinato quería delatasen michael duda dio orden hyman roth frank pentangeli caporegime familia negado permiso matar hermanos rosato mafiosos trabajan roth descuido hermano fredo michael descubre traidor hyman roth hermano ver intento asesinato don corleone intenta matar roth falla éste país mismo tiempo michael decide dirigirle palabra hermano final don corleone decide matar fredo después haberle dicho perdonaba consigue matar hyman roth denegaron entrada país curiosidades mario puzo inspiró meyer lansky mafioso judío negocios cuba crear hyman roth véase padrino
1992,1883688,freno regenerativo dispositivo permite reducir velocidad vehículo transformando parte energía cinética energía eléctrica energía eléctrica almacenada uso futuro freno regenerativo trenes eléctricos alimenta fuente energía mismo vehículos baterías vehículos híbridos energía almacenada banco baterías banco condensadores uso posterior freno regenerativo tipo freno dinámico tipo freno dinámico freno reostático mediante energía eléctrica generada frenada disipada forma calor frenado tradicional basado fricción sigue siendo usado junto regenerativo siguientes razones frenado regenerativo reduce manera efectiva velocidad niveles bajos cantidad energía disipar limitada capacidad absorción ésta parte sistema energía carga baterías condensadores efecto regenerativo puede ocurrir vehículo conectado red suministradora energía consume baterías condensadores cargados completamente razón necesario contar freno reostático absorba exceso energía motor freno frenos regenerativos basan principio motor eléctrico puede ser utilizado generador motor eléctrico tracción reconectado generador frenado terminales alimentación convierten suministradoras energía conduce hacia carga eléctrica carga provee efecto frenado ejemplo temprano sistema freno regenerativo desarrollado vehículo amitron american motors corporation amc gulton industries vehículo accionado completamente baterías fase prototipo recargadas frenado regenerativo incrementaba rendimiento automóvil funcionamiento tren eléctrico frenado conexiones motor tracción modificadas mediante dispositivo electrónico funcione generador eléctrico ejemplo motores corriente continua brushless inglés escobillas cuentan normalmente sensores efecto hall determinar posición rotor motor permite tener información vehículo calcular cómo frenar corriente generada motor hacia sistemas almacenamiento pueden ser baterías supercondensadores campos motor conectan motor principal tracción armaduras motor conectan carga motor tracción excita campos ruedas vehículo automóvil trolebús locomotora girar mueven armaduras motores actúan generadores motores funcionan generadores corriente generada puede hacer pasar través resistencias eléctricas daría lugar frenado reostático envía línea suministro caso trole locomotora baterías supercondensador caso vehículo autónomo independiente línea corriente hablando frenado regenerativo movimiento vehículo decelerado flujo corriente través armadura motor frenado debe ser contrario utiliza accionar motor esfuerzo frenado proporcional producto fuerza magnética líneas campo multiplicado velocidad angular armadura comparación freno reostático regenerativo frenos reostáticos diferencia regenerativos disipan energía eléctrica forma calor hacer circular corriente generada frenado través enormes bancos resistores variables reostatos frenos reostáticos utilizados carretillas elevadoras trolebuses además locomotoras eléctricas diésel calor generado resistores puede servir calentar interior vehículo calor disipado exterior hace través capuchas enormes diseñadas albergar bancos resistores principal desventaja frenos regenerativos comparados reostáticos necesidad igualar corriente generada suministrada fuentes corriente continua requiere voltaje controlado estrictamente solamente desarrollo electrónica posible utilizar fuentes corriente alterna pues frecuencia suministro debe ser igualada número limitado ferrocarriles montaña usado corriente trifásica accionar motores trifásicos inducción redunda velocidad casi constante mientras motor funciona frecuencia necesaria avanzar frenar uso automovilismo kers descripción dispositivo denominado kers kinetic energy recovery systems sistemas recuperación energía cinética sistema recuperación energética entrará vigor competición fórmula además abaratar costes objetivo dispositivo aumentar facilidad número adelantamientos avance aerodinámica ido disminuyendo sido diseñado desarrolado xtrac torotrack flybrid system especificaciones impuestas fia componente funciona obteniendo energía disiparía forma calor frenadas acumulándola volante inercia idea energía almacenada otorgará potencia extra aproximadamente segundos fase aceleración tras frenada embargo posible importancia kers vaya aumento años llegandose incluso motores limitados principio llegarán próxima década escuderías podrán elegir tres opciones diseñar dispositivo sistema mecánico sistema eléctrico similar batería inercial sistema neumático principio mayoría equipos utilizarán versión mecánica eficiente compacta embargo posible algún equipo decante eléctrica aunque menos eficiente debe convertir energía mecánica eléctrica viceversa ventaja puede colocarse cualquier lugar monoplaza mecánico cerca trasmisión incidentes desarrollo kers rodeado problemas equipos opusieron implementara alegando problemas desarrollo asegurando retrasando salida reducirían costes además mecánico bmw resultó herido descarga eléctrica mientras manipulaba monoplaza contenía dispotivo cuestión fábrica red bull racing ser evacuada problemas sobrecalentamiento kers equipos convocaron reunión hungría pretendía retrasar implantación embargo llegó tal acuerdo momento sabe equipos listo dispositivo inicio temporada desarrollo kers actualmente implementando monoplazas recién finalizados test circuito montmeló primeros implementar relativo éxito nuevo dispositivo sido escudería bmw lado contrarresta preocupación dos pilotos nick heidfeld robert kubica encuentran pilotos peso fórmula preocupación viene dada peso reglamentario coches sigue siendo mismo pilotos mayor peso menor lastre repartir coche según últimas noticias escudería toyota acudirá gran premio melbourne sistema kers ferrari presentó modelo sistema kers incorporado habla capacidad media recuperación baterías tener aporte potencia motriz tan solo vuelta circuito aplicaciones coches calle resulta ser éxito kers podría ser implementado coches calle evidentemente misma forma fórmula sino usando continuamente energía obtenida frenadas reducir consumo combustible deduce kers dispositivo ecológico empresa bmw comercializa modelos serie motorizaciones diesel gasolina sistema llamado efficient dynamics mejoras incorpora sistema aprovecha energía frenado brake energy regeneration sistema momento utiliza recargar batería vehiculo necesidad utilizar constantemente alternador mantenga batería cargada así ahorrar combustible ganar según mire véase freno freno motor referencias time magazine business section next the voltswagon december technical regulations released fia fia visto diciembre evworld article formula one braking new ground
2488,1886956,symmorium género extinto tiburón estetacántido parecido stethacanthus única diferencia estructura forma yunque científicos consideran symmorium hembra stethacanthus causa considera hembra stethacanthus sujeción especie diferente resultado existe clasificación taxonómica
3931,1894710,pedro blanco ariza periodista español cadena ser nacido tudela navarra licenció ciencias información rama periodismo universidad navarra especializándose periodismo radiofónico primer contacto radio lugar radio ribera pequeña emisora ciudad natal obtuvo beca servicios informativos cadena ser posteriormente nombrado directorpresentador matinal ser incorporado carlos llamas subdirector presentador sustituto hora así directorpresentador hora tras desembarco carles francino hoy hoy pedro blanco trasladado editorcopresentador espacio así presentador sustituto magacín informativo abandona agosto temporada pedro blanco directorpresentador edición local hoy hoy madrid emite desconexión radio madrid tdt estatal toda españa radio línea cadenasercom mundo mantiene además presencia programación estatal directorpresentador sustituto ausencias carles francino hoy hoy asimismo junio compagina radio debate televisivo emite lunes viernes horas televisiones red localia enlaces externos navarro destapará sábado esencias fiestas sido judas volatin tudela banquillo ondas
3476,1892350,universidad tecnológica manzanillo institución pública educación superior ubicada puerto manzanillo colima méxico creada septiembre votación unánime congreso colima aprobando ley orgánica convierte organismo público descentralizado gobierno colima ofrece carreras clasificación arancelaria despacho aduanero administración autotransporte logística mantenimiento industrial gastronomía estudiantes egresan luego dos años estudios seis cuatrimestres técnicos superiores universitarios primer rector gustavo calderón riveroll puedes accesar página web wwwutmanzanilloedumx
3389,1891869,tratado madrid acuerdo paz mediante españa inglaterra ponían fin guerra ambos países mantenían tratado incluía restablecimiento relaciones comerciales ambos países tratado delegaciones tras conversaciones preliminares mantenidas contaron intermediación carlos manuel saboya oficios carlos coloma embajada española londres tratado definitivo firmó noviembre madrid presencia gaspar guzmán íñigo vélez guevara pedro zúñiga representación felipe españa francis cottington enviado carlos inglaterra acuerdos principales puntos acordados tratado cese hostilidades olvido daños ofensas revocación patentes corso otorgadas guerra negación ayuda comercio enemigos parte contraria ninguno firmantes formaría alianzas perjuicio parte restablecimiento relaciones comerciales según términos acordados tratado londres navíos españoles libre entrada puertos ingleses recíprocamente ingleses podrían entrar puertos españoles súbditos cada países firmantes recibirían país mismo trato nativos inglaterra interrumpiría relaciones comerciales provincias unidas aquella época enfrentadas españa guerra flandes mercancías inglaterra escocia irlanda libre entrada españa previo pago tasas aplicables mismo trato recibirían mercancías españolas islas británicas mercancías compradas ingleses españa destinadas terceros países recargo ciudadanos ingleses molestados inquisición española razones religión supresión derecho aubana caso guerra ambos ciudadanos residentes territorio extranjero seis meses salir país llevando consigo propiedades liberación presos tomados ambas partes transcurso guerra previo pago gastos ocasionados manutención galeotes exentos pago intermediación inglaterra hipotética tregua provincias unidas condiciones comerciales pactadas españa igualmente aplicables países bajos españoles condiciones tratado comprendidos aliados ambos países referencias texto tratado inglés
3923,1894679,circus difícil todavía concurso telerrealidad tipo talent show producido zeppelin cadena española cuatro emitió basado formato australiano celebrity circus objetivo programa encontrar nuevos talentos mundo circo enfrentando veinte concursantes diez chicos diez chicas cuyo premio final año beca escuela circo programa presentado josep lobató contaba profesores eduardo fedriani profesor acrobacia suelo roberto gasca profesor técnicas aéreas gimnasta almudena cid entrenadora general pedro aunión director escena coreógrafo genis matabosh director academia circense programa contó canal circus horas plataforma digital emitía ininterrumpida actividades concursantes horas día historia circus estrenó septiembre dedicando tres primeras entregas mostrar proceso selección concursantes tres programas emitieron forma consecutiva fin semana viernes sábado domingo horario prime time bajo título circus casting finalmente circus cuerda floja tras tres primeras emisiones concurso pasó emitirse forma diaria horario sobremesa cosechar resultados audiencia inferiores media cadena partir octubre dos semanas después estreno abandonó formato diario pasar emitirse gala semanal prime time sábados mejorar tampoco resultados despidió semana después horario late night formato siguiendo modelo concursos telerrealidad academia artística concursantes circus convivían competían recibían clases escuela circus plató dividido casa carpa mil metros cuadrados realizaban actuaciones cada alumno escuela representaba número semanal tres disciplinas concurso acrobacias suelo contorsión números aéreos grandes aparatos además números individuales participantes interpretaban cada semana número grupal jurado formado profesores encargado nominar semanalmente tres concursantes débiles siendo votos público decidía expulsado principal diferencia respecto formato original celebrity circus participantes circus difícil todavía celebridades sino concursantes anónimos desarrollo concurso lunes día expulsión nominados defienden temas mismos preparan luego concursante menos votos recibido fin semana expulsado academia concurso martes día salvaciones concursantes compiten convertirse red aquella capacidad salvar nominaciones compañero nominado proceso siguiente primero descalifican automáticamente menos cuatro entonces jurado decide quién convierte red miercoles primeras nominaciones concursantes realizan números jurado delibera final actuaciones anuncian dos concursantes pasan cuerda floja mejor hace esdeviene estrella semana concursante immune jueves segundas nominaciones concursantes incluidos red estrella deben ponerse trabajar defender altura número salvar compañeros mismos nominaciones final nominaciones jurado delibera seran dos concursantes unen nominados viernes nominaciones definitivas nominados mostrar dificil todavía decir demostrar valen concursante red semana salve nominaciones acabar programa red salva dejando tres manos público sábados tras suprimirse ediciones diarias distintas fases concurso concentraron único día sábados participantes profesores genís matabosch director almudena cid entrenadora general pedro aunión director escena coreógrafo roberto gasca profesor técnicas aéreas eduardo fedriani profesor acrobacia suelo josep lobató presentador concursantes expulsados iñaki años bilbao quique años lugo alex años madrid eliminados final alejandro años granada amaya años madrid ana años madrid cristian años madrid diego años madrid isabel años zaragoza josué años madrid lídia años madrid marco años orense maría años vallirana barcelona miqui años valencia olaia años vigo palmarés años barcelona celia años madrid sílvia años barcelona finalistas roseta años valencia elena años madrid ganador nacho años granada tabla estadísticas concursante abandonó concursante estava semana casa concursante expusado público concursante tres nominados concursante cuatro nominados salvado red concursante estrella semana concursante candidato red concursante red semana concursante entró semana casa audiencias programa consechó mejor registro audiencia día estreno media cuota pantalla millones espectadores tres primeras emisiones correspondientes proceso selección aspirantes artístas circenses programa registró media superior millón espectadores share encima media cadena datos embargo decreciendo progresivamente emisiones diarias remontaron dos galas finales cástings emisiones diarias emisiones semanales referencias enlaces externos sitio web oficial blog oficial foro oficial circus
2617,1887686,voriconazol fármaco antifúngico grupo derivados triazólicos junto itraconazol fluconazol derivado sintético farmacocinética farmacocinética voriconazol lineal debido saturación metabolismo implica utilización dosis carga tras cuales alcanzan concentraciones plasmáticas próximas equilibrio estacionario primeras horas administración administran dosis carga equilibrio tarda alcanzarse seis días dosis carga aconseja niños absorción vía oral rápida casi completa alcanzándose dosis máximas dos horas alterada toma alimentos biodisponibilidad cercana unión proteínas plasmáticas pasando líquido cefalorraquídeo aunque conoce bien tasa difusión metaboliza hígado través citocromo isoenzimas cypc cypc cypa isoenzima cypc encuentra presente sujetos raza negra blanca sujetos raza asiática traduce metabolismo lento cuestión tener cuenta cara interacciones reacciones adversas principal metabolito activo nóxido clínicamente activo elimina metabolismo hepático tasa eliminación orina inferior mecanismo acción igual resto derivados imidazólicos actúa nivel desmetilación ergosterol indicaciones voriconazol demostrado eficacia clínica frente hongos candida aspergillus scedosporium así frente cepas responsables cuadros coccidiomicosis cripotococosis laboratorio resultado eficaz frente cepas alternaria histoplasma interacciones contraindicaciones hecho característico ser derivado imidazólico hace partícipe características grupo contraindicaciones importantes interacción isoenzima cypa debe tomarse junto terfenadina astemizol cisaprida pimozida quinidina alto riesgo producir transtornos ritmo cardíaco alcaloides derivados ergotamina sirolimus aumento concentraciones fármacos contraindicado uso concomitante rifampicina carbamazepina fenobarbital ritonavir productos disminuyen notablemente eficacia voriconazol finalmente contraindica toma conjunta hipérico hierba san juan asociaciones especial seguimiento médico médico debe controlar rigurosamente asociación siguientes fármacos ciclosporina derivados opiáceos acción corta fentanilo sufentanilo metadona anticoagulantes orales warfarina acenocumarol tacrolimus sulfonilureas lovastatina benzodiazepinas midazolam triazolam alcaloides vinca vinblastina vincristina omeprazol anticonceptivos orales rifabutina fenitoina reacciones adversas siguiente listado recogen tan sólo reacciones adversas descritas frecuencia superior descritas numerosas reacciones presentan frecuencia inferior menor notas
2336,1885932,corte chorro agua inglés jetcutting variedades hidrodemolición consiste corte materiales agua extrema presión combinando dicha presión incorporación algún material abrasivo tales carborundo carburo silicio corindón sílice técnica consiste proyección soporte cortar chorro agua presión bares flujo agua lpm incorporando efecto venturi árido abrasivo chorro agua uso uso dirige principalmente hacia obra civil edificación campo emplea cada vez frecuentemente corte hormigón armado chapas metálicas etc indicado aún empleo obras civiles relacionadas refinerías fábricas disolventes similares ambiente inflamable desaconseja uso sistemas corte corte discos hilo diamante existir posibilidad generar chispas podrían producir incendios explosiones véase hidrodemolición hormigón concreto referencias
3364,1891788,pathum thani tailandés provincias centrales tailandia limita agujas reloj provincias ayutthaya saraburi nakhon nayok chachoengsao bangkok nonthaburi situada norte bangkok parte metrópolis capital muchas partes límites dos provincias inapreciables encuentra llanos aluviales río chao phraya fluye través capital canales khlongs cruzan provincia sirven riego arrozales origen capital pathum thani remonta fundación mon emigraron mottama birmania alrededor nombre original sam khok rey rama visitó ciudad ciudadanos ofrecieron muchas flores loto rey cambió nombre ciudad llamándola pathum thani significa ciudad loto emblema provincial muestra flor loto color rosa dos espigas arroz inclinan misma árbol provincial coral india erythrina variegata flor provincial loto nymphaea lotus centros educación superior investigación pathum thani alta concentración instituciones educación superior especialmente aquellas abarcan campos ciencia tecnología además parques industriales organismos investigación incluido parque ciencias tailandia destacan museo nacional ciencia instituto asiático tecnología universidad bangkok universidad pathumthani universidad rangsit universidad teconológica rajamangala universidad shinawatra universidad thammasat agencia nacional ciencia desarrollo tecnológico instituto tailandia recursos científicos teconológicos división administrativa provincia divide distritos amphoe vez subdividen comunas tambon aldeas muban enlaces externos pathum thani administración provincial página autoridad turismo tailandia thailand guidebook pathum thani province inglés
